Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,Latitude,Longitude
1,10,Y4,0,124,2598091,920 GRESHAM ROAD,MANHATTAN,1000010010,1,D,40.78343,-73.96625
2,23,T2,0,1,24346,20 SOUTH STREET,MANHATTAN,1000020023,0,F,40.7017545,-74.011711
4,7501,R0,2,1,2542563,1 WATER STREET,MANHATTAN,1000047501,61,C,40.7021931,-74.0120405
5,7501,R0,2,1,1354691,125 BROAD STREET,MANHATTAN,1000057501,76,B,40.7023329,-74.0105146
8,7501,R0,2,1,169061,2 WATER STREET,MANHATTAN,1000087501,13,D,40.7027979,-74.012748
9,1,O4,4,1,692431,34 WHITEHALL STREET,MANHATTAN,1000090001,72,B,40.7027732,-74.0131543
10,16,O4,4,1,336025,90 BROAD STREET,MANHATTAN,1000100016,81,B,40.7037964,-74.0119608
15,7502,R0,2,1,259076,20 WEST STREET,MANHATTAN,1000157502,26,D,40.7061966,-74.0156082
16,40,W1,0,1,134082,55 BATTERY PLACE,MANHATTAN,1000160040,43,D,40.7064132,-74.0175376
16,7523,R0,2,1,302526,325 NORTH END AVENUE,MANHATTAN,1000167523,12,D,40.716932,-74.0149509
18,7501,R0,2,1,366993,13 RECTOR STREET,MANHATTAN,1000187501,11,D,40.708047,-74.0141113
21,1,O4,4,1,650740,61 BROADWAY,MANHATTAN,1000210001,75,B,40.7069573,-74.0125097
22,28,O6,4,1,345540,52 BROADWAY,MANHATTAN,1000220028,59,C,40.7064659,-74.0122977
23,19,O4,4,2,240279,11 WALL STREET,MANHATTAN,1000230019,1,D,40.7070653,-74.0111761
24,1,O4,4,1,974958,60 BROAD STREET,MANHATTAN,1000240001,68,C,40.7054601,-74.011721
26,14,D5,2,2,377214,37 WALL STREET,MANHATTAN,1000260014,36,D,40.7064701,-74.0101382
26,21,D9,2,1,493187,45 WALL STREET,MANHATTAN,1000260021,56,C,40.706421,-74.0097949
27,17,D5,2,1,305271,67 WALL STREET,MANHATTAN,1000270017,52,D,40.7057297,-74.0089089
27,7502,R0,2,1,786942,20 EXCHANGE PLACE,MANHATTAN,1000277502,86,A,40.7054651,-74.0095083
28,1,D0,2,1,239121,3 HANOVER SQUARE,MANHATTAN,1000280001,6,D,40.7050665,-74.0098062
28,5,O4,4,1,292466,5 HANOVER SQUARE,MANHATTAN,1000280005,64,C,40.704919,-74.0093135
28,12,O4,4,1,95325,76 BEAVER STREET,MANHATTAN,1000280012,52,D,40.7052549,-74.0088468
29,1,O4,4,1,1007569,85 BROAD STREET,MANHATTAN,1000290001,78,B,40.7039838,-74.0111188
29,36,O3,4,1,105000,1 WILLIAM STREET,MANHATTAN,1000290036,56,C,40.7048394,-74.0100168
33,1,O4,4,1,541568,77 WATER STREET,MANHATTAN,1000330001,84,B,40.7042035,-74.0082436
33,7501,R0,2,1,106598,101 WALL STREET,MANHATTAN,1000337501,13,D,40.7049574,-74.0072394
37,13,H3,4,1,34613,129 FRONT STREET,MANHATTAN,1000370013,13,D,40.7051879,-74.0061997
38,1,O4,4,1,463664,100 WALL STREET,MANHATTAN,1000380001,54,D,40.7052203,-74.0067996
38,17,O4,4,1,664990,88 PINE STREET,MANHATTAN,1000380017,70,B,40.705446,-74.0062624
40,16,H3,4,1,119467,52 WILLIAM STREET,MANHATTAN,1000400016,0,F,40.7067777,-74.0090365
41,7501,R0,2,1,45352,50 PINE STREET,MANHATTAN,1000417501,59,C,40.706856,-74.0086819
52,1,W1,0,1,102591,96 TRINITY PLACE,MANHATTAN,1000520001,2,D,40.7088643,-74.0123513
52,8,H2,4,1,130054,133 GREENWICH STREET,MANHATTAN,1000520008,40,D,40.7093553,-74.0127012
53,2,H2,4,1,142236,99 WASHINGTON STREET,MANHATTAN,1000530002,37,D,40.7082722,-74.0141123
63,15,D7,2,1,64666,187 BROADWAY,MANHATTAN,1000630015,0,F,40.7102432,-74.0097432
69,53,V1,0,1,0,104 JOHN STREET,MANHATTAN,1000690053,0,F,40.707757,-74.006005
70,32,D6,2,1,487950,180 WATER STREET,MANHATTAN,1000700032,95,A,40.7067517,-74.0054525
73,10,K6,0,1,242074,95 SOUTH STREET,MANHATTAN,1000730010,0,F,40.7055221,-74.0015738
75,1,D8,2,1,541000,127 JOHN STREET,MANHATTAN,1000750001,35,D,40.7072901,-74.0051763
75,30,O4,4,1,296076,111 JOHN STREET,MANHATTAN,1000750030,82,B,40.7077753,-74.0055755
76,6,D7,2,1,101542,56 FULTON STREET,MANHATTAN,1000760006,41,D,40.7085213,-74.0051847
76,7501,R0,2,1,158477,15 CLIFF STREET,MANHATTAN,1000767501,55,C,40.7084296,-74.0056635
9,29,O4,4,1,896956,24 STATE STREET,MANHATTAN,1000090029,52,D,40.7033851,-74.0141188
13,1,O6,4,1,180646,1 BROADWAY,MANHATTAN,1000130001,98,A,40.7049731,-74.0146054
13,5,O4,4,1,434220,11 BROADWAY,MANHATTAN,1000130005,86,A,40.7052865,-74.0140236
16,120,O4,4,1,1501878,200 LIBERTY STREET,MANHATTAN,1000160120,77,B,40.7106407,-74.0155561
16,140,O4,4,1,2233692,200 VESEY STREET,MANHATTAN,1000160140,80,B,40.7136414,-74.0148204
16,7501,R0,2,1,220821,377 RECTOR PLACE,MANHATTAN,1000167501,47,D,40.7098302,-74.0179135
16,7504,R0,2,1,91774,300 ALBANY STREET,MANHATTAN,1000167504,24,D,40.709924,-74.0167669
16,7518,R0,2,1,262021,333 RECTOR PLACE,MANHATTAN,1000167518,37,D,40.7095678,-74.0173268
16,7519,R0,2,1,273018,300 NORTH END AVENUE,MANHATTAN,1000167519,27,D,40.716601,-74.0143278
16,7520,R0,2,1,425407,200 NORTH END AVENUE,MANHATTAN,1000167520,18,D,40.7160302,-74.0147836
17,29,D5,2,1,335114,90 WASHINGTON STREET,MANHATTAN,1000170029,48,D,40.7080405,-74.0148833
21,6,D5,2,1,303086,71 BROADWAY,MANHATTAN,1000210006,68,C,40.7073636,-74.0121976
23,50,D9,2,1,466820,20 BROAD STREET,MANHATTAN,1000230050,100,A,40.7064215,-74.0113222
24,29,O4,4,1,370000,30 BROAD STREET,MANHATTAN,1000240029,91,A,40.7062753,-74.0116514
24,7501,R0,2,1,319910,40 BROAD STREET,MANHATTAN,1000247501,11,D,40.7059374,-74.011542
25,10,W8,4,1,91553,41 BROAD STREET,MANHATTAN,1000250010,1,D,40.7057707,-74.0110982
25,27,O4,4,1,239071,40 EXCHANGE PLACE,MANHATTAN,1000250027,82,B,40.7058839,-74.0102847
27,7501,R0,2,1,263582,55 WALL STREET,MANHATTAN,1000277501,1,D,40.7059031,-74.0093449
29,70,O4,4,1,661283,75 BROAD STREET,MANHATTAN,1000290070,35,D,40.7044516,-74.0114151
31,1,D6,2,1,487404,10 HANOVER SQUARE,MANHATTAN,1000310001,15,D,40.7045409,-74.0088435
32,7501,R0,2,1,3678000,43 WATER STREET,MANHATTAN,1000327501,77,B,40.7037967,-74.0092537
35,10,O4,4,1,990250,111 WALL STREET,MANHATTAN,1000350010,66,C,40.7042491,-74.0069998
39,1,O6,4,1,103297,82 WALL STREET,MANHATTAN,1000390001,0,F,40.7054119,-74.0075518
39,38,H3,4,1,42568,126 WATER STREET,MANHATTAN,1000390038,32,D,40.7055848,-74.007227
40,7501,R0,2,1,306787,73 PINE STREET,MANHATTAN,1000407501,0,F,40.7060674,-74.0075865
41,24,O6,4,1,42000,62 WILLIAM STREET,MANHATTAN,1000410024,27,D,40.7071925,-74.0086351
41,7503,R0,2,1,81412,56 PINE STREET,MANHATTAN,1000417503,12,D,40.7068297,-74.0083465
43,1,O4,0,1,289049,44 WALL STREET,MANHATTAN,1000430001,71,B,40.706794,-74.0093855
47,7501,R0,2,1,1736513,120 BROADWAY,MANHATTAN,1000477501,80,B,40.7082035,-74.0105065
50,1,O4,4,1,396607,115 BROADWAY,MANHATTAN,1000500001,60,C,40.7089388,-74.0114723
53,38,H2,4,1,70918,100 GREENWICH STREET,MANHATTAN,1000530038,32,D,40.7082834,-74.0137346
55,7501,R0,2,1,449355,40 RECTOR STREET,MANHATTAN,1000557501,73,B,40.7086394,-74.0146847
62,7501,R0,2,1,2139035,1 LIBERTY PLAZA,MANHATTAN,1000627501,78,B,40.70899,-74.01097
64,9,O2,4,1,30681,59 LIBERTY STREET,MANHATTAN,1000640009,29,D,40.708919,-74.0097249
65,7,O4,4,1,124910,15 MAIDEN LANE,MANHATTAN,1000650007,88,A,40.7095226,-74.0092282
65,10,D5,2,1,58354,9 MAIDEN LANE,MANHATTAN,1000650010,2,D,40.709609,-74.0093344
65,24,H1,4,1,50616,24 JOHN STREET,MANHATTAN,1000650024,42,D,40.7096711,-74.0087599
69,6,D8,2,1,222001,211 PEARL STREET,MANHATTAN,1000690006,42,D,40.707064,-74.006986
69,32,D7,2,1,338463,116 JOHN STREET,MANHATTAN,1000690032,78,B,40.7074899,-74.0058959
70,43,O4,4,1,481858,160 WATER STREET,MANHATTAN,1000700043,62,C,40.7066256,-74.0056309
71,1,D7,2,1,52969,156 FRONT STREET,MANHATTAN,1000710001,17,D,40.706188,-74.004734
75,21,O4,4,1,234553,40 FULTON STREET,MANHATTAN,1000750021,69,C,40.7078587,-74.0045474
77,1,D7,2,1,160000,85 JOHN STREET,MANHATTAN,1000770001,36,D,40.708362,-74.0065965
77,8,O4,4,1,788241,110 WILLIAM STREET,MANHATTAN,1000770008,68,C,40.7084968,-74.0067776
77,24,D7,2,1,159000,82 FULTON STREET,MANHATTAN,1000770024,2,D,40.7091284,-74.0057794
78,1,D7,2,1,76988,135 WILLIAM STREET,MANHATTAN,1000780001,93,A,40.7093821,-74.006744
78,7508,R0,2,1,81199,45 JOHN STREET,MANHATTAN,1000787508,81,B,40.7092434,-74.0078826
79,7502,R0,2,1,71246,130 FULTON STREET,MANHATTAN,1000797502,55,C,40.7101916,-74.0079702
88,10,O6,4,1,71959,30 VESEY STREET,MANHATTAN,1000880010,91,A,40.7121142,-74.0098166
90,7503,R0,2,2,313980,5 BEEKMAN STREET,MANHATTAN,1000907503,1,D,40.7113229,-74.0067467
93,1,O4,4,1,463679,81 FULTON STREET,MANHATTAN,1000930001,75,B,40.708639,-74.0048892
95,27,D3,2,1,208576,49 FULTON STREET,MANHATTAN,1000950027,52,D,40.7082261,-74.0039327
96,5,K4,0,12,80000,23 FULTON STREET,MANHATTAN,1000960005,0,F,40.707214,-74.003637
8,39,H3,4,1,46724,32 PEARL STREET,MANHATTAN,1000080039,0,F,40.7030396,-74.0122638
8,51,H2,4,1,102407,6 WATER STREET,MANHATTAN,1000080051,25,D,40.702977,-74.0122333
10,14,O4,4,1,365792,33 WHITEHALL STREET,MANHATTAN,1000100014,60,C,40.703334,-74.0129436
10,33,H2,4,1,143731,8 STONE STREET,MANHATTAN,1000100033,42,D,40.7038331,-74.0122832
11,21,O4,4,1,361710,80 BROAD STREET,MANHATTAN,1000110021,72,B,40.7042551,-74.0117148
